Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
0.594669,1.108363,1.1969,0.573086,6.014153,0,,,,,137.021877,1.G.1,0.60215,1.107262
0.602698,1.107262,1.212958,0.573247,6.094441,0,,,,,138.521144,1.G.2,0.610179,1.105266
0.610726,1.105266,1.229016,0.573414,6.17473,0,,,,,140.020534,1.G.3,0.618207,1.104257
0.618755,1.104257,1.245075,0.573588,6.255018,0,,,,,141.519786,1.G.4,0.626236,1.102926
0.626784,1.102926,1.261133,0.57376,6.335307,0,,,,,143.019176,1.G.5,0.634265,1.101123
0.634812,1.101123,1.277192,0.573924,6.415596,0,,,,,144.518505,1.G.6,0.642293,1.100009
0.642841,1.100009,1.29325,0.574097,6.495884,0,,,,,146.017848,1.G.7,0.650322,1.099641
0.65087,1.099641,1.309309,0.57429,6.576172,0,,,,,147.517284,1.G.8,0.658351,1.099136
0.658898,1.099136,1.325367,0.574435,6.656461,0,,,,,149.016674,1.G.9,0.666379,1.098523
0.666927,1.098523,1.341425,0.574545,6.736749,0,,,,,150.515987,1.G.10,0.674408,1.098013
0.674956,1.098013,1.357484,0.57469,6.817038,0,,,,,152.023784,1.G.11,0.682437,1.097023
0.682984,1.097023,1.373542,0.574905,6.897326,0,,,,,153.523159,1.G.12,0.690465,1.096246
0.691013,1.096246,1.389601,0.575059,6.977614,0,,,,,155.022609,1.H.1,0.698494,1.096364
0.699042,1.096364,1.405659,0.575158,7.057903,0,,,,,156.522182,1.H.2,0.706523,1.096821
0.70707,1.096821,1.421717,0.575288,7.138191,0,,,,,158.021617,1.H.3,0.714551,1.097821
0.715099,1.097821,1.437776,0.575414,7.21848,0,,,,,159.521022,1.H.4,0.72258,1.097965
0.723128,1.097965,1.453834,0.575513,7.298769,0,,,,,161.020504,1.H.5,0.730609,1.097254
0.731156,1.097254,1.469893,0.575639,7.379057,0,,,,,162.519939,1.H.6,0.738637,1.095404
0.739185,1.095404,1.485951,0.575791,7.459345,0,,,,,164.019466,1.H.7,0.746666,1.094867
